name	mod	context	context_source	default	live	seen	english	russian
key.dragon_strike	iceandfire	UNIVERSAL	assumed		key.keyboard.g	options	Dragon Strike	Драконий Удар
key.drawMahoujin	mahoutsukai	UNIVERSAL	assumed		key.keyboard.m	options	Draw Mahoujin	Начертить магический круг
key.drop	minecraft	UNIVERSAL	assumed		key.keyboard.q	options		
key.easy_villagers.cycle_trades	easy_villagers	UNIVERSAL	assumed		key.keyboard.c	options	Cycle Trades	Цикл продаж
key.easy_villagers.pick_up	easy_villagers	UNIVERSAL	assumed		key.keyboard.v	options	Pick Up	Подобрать
key.enderio.toggle_magnet	enderio	UNIVERSAL	assumed		key.keyboard.m	options	Toggle Electromagnet	Переключить электромагнит
key.enderio.travel_staff	enderio	UNIVERSAL	assumed		key.keyboard.g	options	Staff of Travelling	Посох путешествия
key.eternal_starlight.switch_crest	eternal_starlight	UNIVERSAL	assumed		key.keyboard.h	options	Switch Crest	Переключить гребень
key.evilcraft.exaltedCrafting	evilcraft	UNIVERSAL	assumed		key.keyboard.c	options	Open Exalted Crafter	Открыть продвинутый верстак
key.evilcraft.fart	evilcraft	UNIVERSAL	assumed		key.keyboard.p	options	Toggle Farting	Переключить пукание
key.extended_industrialization.toggle_boots_ability	extended_industrialization	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Boots Ability	Переключить способность ботинок
key.extended_industrialization.toggle_chestplate_ability	extended_industrialization	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Chestplate Ability	Переключить способность нагрудника
key.extended_industrialization.toggle_helmet_ability	extended_industrialization	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Helmet Ability	Переключить способность шлема
key.extended_industrialization.toggle_leggings_ability	extended_industrialization	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Leggings Ability	Переключить способность поножей
key.extended_industrialization.toggle_main_hand_ability	extended_industrialization	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Main Hand Ability	Переключить способность в основной руке
key.extendedae.set_amount	extendedae	UNIVERSAL	assumed		key.mouse.middle	options	Set Amount	
key.extendedae.viewpattern	extendedae	UNIVERSAL	assumed		key.keyboard.p	options	View Pattern	Посмотреть шаблон
key.fireNobu	mahoutsukai	UNIVERSAL	assumed		key.mouse.left	options	Fire Nobu	Fire Nobu
key.forward	minecraft	UNIVERSAL	assumed		key.keyboard.w	options		
key.ftbchunks.add_waypoint	ftbchunks	UNIVERSAL	assumed		key.keyboard.unknown	options	Quick Add Waypoint	Быстро добавить путевую точку
key.ftbchunks.claim_manager	ftbchunks	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Claim Manager	Открыть управление захватом
key.ftbchunks.map	ftbchunks	UNIVERSAL	assumed		key.keyboard.m	options	Open Map	Открыть карту
key.ftbchunks.minimap.zoomIn	ftbchunks	UNIVERSAL	assumed		key.keyboard.equal	options	Zoom In Minimap	Увеличить масштаб миникарты
key.ftbchunks.minimap.zoomOut	ftbchunks	UNIVERSAL	assumed		key.keyboard.minus	options	Zoom Out Minimap	Уменьшить масштаб миникарты
key.ftbchunks.toggle_minimap	ftbchunks	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Minimap	Переключить миникарту
key.ftbchunks.waypoint_manager	ftbchunks	UNIVERSAL	assumed		key.keyboard.unknown	options	Waypoint Manager	Управление путевыми точками
key.ftbquests.gui.extended_info	ftbquests	UNIVERSAL	assumed		key.keyboard.f1	options	See Extended Quest Info	
key.ftbquests.gui.move_down	ftbquests	UNIVERSAL	assumed		key.keyboard.down	options	Move Selection / Scroll Down	
key.ftbquests.gui.move_left	ftbquests	UNIVERSAL	assumed		key.keyboard.left	options	Move Selection / Scroll Left	
