name	mod	context	context_source	default	live	seen	english	russian
key.journeymap.fullscreen_chat_position	journeymap	UNIVERSAL	assumed		key.keyboard.c	options	Chat Position (at cursor)	Вывести позицию курсора в чат
key.journeymap.fullscreen_create_waypoint	journeymap	UNIVERSAL	assumed		key.keyboard.b	options	Create Waypoint (at cursor)	Создать метку на месте курсора
key.journeymap.fullscreen_follow_player	journeymap	UNIVERSAL	assumed		key.keyboard.f	options	Follow Player	Follow Player
key.journeymap.fullscreen_options	journeymap	UNIVERSAL	assumed		key.keyboard.o	options	Options Manager	Менеджер настроек
key.journeymap.fullscreen_waypoints	journeymap	UNIVERSAL	assumed		key.keyboard.n	options	Waypoint Manager	Менеджер меток
key.journeymap.map_toggle_alt	journeymap	UNIVERSAL	assumed		key.keyboard.j	options	Show / Hide Fullscreen Map	Показать/Спрятать полноэкранную карту
key.journeymap.minimap_preset	journeymap	UNIVERSAL	assumed		key.keyboard.backslash	options	Switch MiniMap Preset	Переключить режим мини-карты
key.journeymap.minimap_toggle_alt	journeymap	UNIVERSAL	assumed		key.keyboard.j:CONTROL	options	Show / Hide MiniMap	Show / Hide MiniMap
key.journeymap.minimap_type	journeymap	UNIVERSAL	assumed		key.keyboard.left.bracket	options	Change Map Type	Переключить тип карты
key.journeymap.toggle_entity_names	journeymap	UNIVERSAL	assumed		key.keyboard.g	options	Toggle Entity Names	Toggle Entity Names
key.journeymap.toggle_render_waypoints	journeymap	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Waypoint Rendering	Toggle Waypoint Rendering
key.journeymap.toggle_render_waypoints_map	journeymap	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Waypoint Map Rendering	Toggle Waypoint Map Rendering
key.journeymap.toggle_render_waypoints_world	journeymap	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Waypoint World Rendering	Toggle Waypoint World Rendering
key.journeymap.toggle_waypoints	journeymap	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle All Waypoints	Toggle all Waypoints
key.journeymap.zoom_in	journeymap	UNIVERSAL	assumed		key.keyboard.equal	options	Zoom In	Приблизить
key.journeymap.zoom_out	journeymap	UNIVERSAL	assumed		key.keyboard.minus	options	Zoom Out	Отдалить
key.jump	minecraft	UNIVERSAL	assumed		key.keyboard.space	options		
key.keybindbundles.open_radial_menu	keybindbundles	UNIVERSAL	assumed		key.keyboard.left.alt	options	Open Bundle radial menu	
key.keybindbundles.open_screen	keybindbundles	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Key Bindings Screen	
key.kubejs.kubedex	kubejs	UNIVERSAL	bytecode		key.keyboard.k	options		
key.left	minecraft	UNIVERSAL	assumed		key.keyboard.a	options		
key.little_big_redstone.open_note_board	little_big_redstone	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Note Board	Открыть блокнот
key.loadToolbarActivator	minecraft	UNIVERSAL	assumed		key.keyboard.x	options		
key.mapping.compactmachines.exit_room	compactmachines	UNIVERSAL	assumed		key.keyboard.unknown	options	Quick-Exit Compact Machine	
key.mapping.compactmachines.open_upgrade_screen	compactmachines	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Room Upgrade Screen	
key.mekanism.chest_mode	mekanism	UNIVERSAL	assumed		key.keyboard.g	options	Chest Mode Switch	Переключить режим ранца
key.mekanism.description	mekanism	UNIVERSAL	assumed		key.keyboard.n:SHIFT	options	Show Description	Показать описание
key.mekanism.details	mekanism	UNIVERSAL	assumed		key.keyboard.left.shift	options	Show Details	Подробности
key.mekanism.feet_mode	mekanism	UNIVERSAL	assumed		key.keyboard.b	options	Feet Mode Switch	Переключить режим бегунков
key.mekanism.head_mode	mekanism	UNIVERSAL	assumed		key.keyboard.v	options	Head Mode Switch	Переключить режим шлема
key.mekanism.key_boost	mekanism	UNIVERSAL	assumed		key.keyboard.left.control	options	Boost	Ускорение
key.mekanism.key_hud	mekanism	UNIVERSAL	assumed		key.keyboard.h	options	Show HUD	Показать HUD
key.mekanism.legs_mode	mekanism	UNIVERSAL	assumed		key.keyboard.j	options	Legs Mode Switch	Переключить режим штанов
key.mekanism.mode	mekanism	UNIVERSAL	assumed		key.keyboard.n	options	Item Mode Switch	Переключить режим предмета
key.mekanism.module_tweaker	mekanism	UNIVERSAL	assumed		key.keyboard.backslash	options	Module Tweaker	Настройка модулей
key.minecolonies.toggle_goggles	minecolonies	IN_GAME	bytecode		key.keyboard.unknown	options	Toggle Goggles Preview	Предварительный просмотр очков
key.modern_industrialization.toggle_3x3	modern_industrialization	UNIVERSAL	assumed		key.keyboard.y	options	Toggle 3x3 Mining	Вкл/выкл Копание 3х3
key.modern_industrialization.toggle_flight	modern_industrialization	UNIVERSAL	assumed		key.keyboard.v	options	Toggle Flight	Вкл/выкл Полёт
key.modernfix.config	modernfix	UNIVERSAL	bytecode		key.keyboard.unknown	options	Open config screen	Открыть экран настройки
key.modularrouters.configure	modularrouters	GUI	bytecode		key.keyboard.c	options	Configure Installed Module (GUI)	
key.modularrouters.moduleInfo	modularrouters	GUI	bytecode		key.keyboard.i	options	Extra Tooltip Info (GUI)	
key.moreoverlays.chunkbounds.desc	moreoverlays	UNIVERSAL	assumed		key.keyboard.f9	options	Toggle Chunk Boundaries	Показать/Спрятать границы чанков
key.moreoverlays.lightoverlay.desc	moreoverlays	UNIVERSAL	assumed		key.keyboard.f7	options	Toggle Light Overlay	Показать/Спрятать метки темноты
key.neovitae.blood_shield	neovitae	UNIVERSAL	assumed		key.mouse.right	options	Blood Shield (Orb of Vitae)	
key.neovitae.edit_hud	neovitae	UNIVERSAL	assumed		key.keyboard.h	options	Edit HUD Layout	
key.neovitae.lex_beam	neovitae	UNIVERSAL	assumed		key.keyboard.unknown	options	Lex Vitae: Fire Beam	
key.neovitae.lex_mode	neovitae	UNIVERSAL	assumed		key.keyboard.period	options	Lex Vitae: Cycle Mode	
key.neovitae.open_guide	neovitae	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Scriptura Vitae for Hovered Item	Открыть Scriptura Vitae для шерсти
key.nextDestination	rftoolsbase	IN_GAME	bytecode		key.keyboard.right.bracket	options	Cycle to next target	
key.occultism.backpack	occultism	UNIVERSAL	assumed		key.keyboard.b	options	Open Satchel	Открыть наплечную сумку
key.occultism.ender_bag	occultism	UNIVERSAL	assumed		key.keyboard.v	options	Open Ender Satchel	Open Ender Satchel
key.occultism.familiar.bat_familiar	occultism	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Ring Effect: Bat	Переключение эффекта перстня: летучая мышь
key.occultism.familiar.beaver_familiar	occultism	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Ring Effect: Beaver	Переключение эффекта перстня: бобёр
key.occultism.familiar.beholder_familiar	occultism	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Ring Effect: Beholder	Переключение эффекта перстня: созерцатель
key.occultism.familiar.blacksmith_familiar	occultism	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Ring Effect: Blacksmith	Переключение эффекта перстня: кузнец
key.occultism.familiar.chimera_familiar	occultism	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Ring Effect: Chimera	Переключение эффекта перстня: химера
key.occultism.familiar.cthulhu_familiar	occultism	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Ring Effect: Cthulhu	Переключение эффекта перстня: Ктулху
key.occultism.familiar.deer_familiar	occultism	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Ring Effect: Deer	Переключение эффекта перстня: олень
key.occultism.familiar.devil_familiar	occultism	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Ring Effect: Devil	Переключение эффекта перстня: дьявол
key.occultism.familiar.dragon_familiar	occultism	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Ring Effect: Dragon	Переключение эффекта перстня: дракон
key.occultism.familiar.fairy_familiar	occultism	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Ring Effect: Fairy	Переключение эффекта перстня: фея
key.occultism.familiar.goat_familiar	occultism	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Ring Effect: Goat	Переключение эффекта перстня: коза
key.occultism.familiar.greedy_familiar	occultism	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Ring Effect: Greedy	Переключение эффекта перстня: алчный
key.occultism.familiar.guardian_familiar	occultism	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Ring Effect: Guardian	Переключение эффекта перстня: страж
key.occultism.familiar.headless_familiar	occultism	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Ring Effect: Headless Ratman	Переключение эффекта перстня: безголовый человек на крысе
key.occultism.familiar.mummy_familiar	occultism	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Ring Effect: Mummy	Переключение эффекта перстня: мумия
key.occultism.familiar.otherworld_bird	occultism	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Ring Effect: Drikwing	Переключение эффекта перстня: дрикрыл
key.occultism.familiar.shub_niggurath_familiar	occultism	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle Ring Effect: Shub Niggurath	Переключение эффекта перстня: Шаб-Ниггурат
key.occultism.storage_remote	occultism	UNIVERSAL	assumed		key.keyboard.n	options	Open Storage Accessor	Открыть средство доступа к хранилищу
key.openManual	mcjtylib	GUI	bytecode		key.keyboard.f1	options	Open Manual	
key.open_muffler_gui	extremesoundmuffler	UNIVERSAL	assumed		key.keyboard.unknown	options	Open sound muffler screen	
key.oracle_index.open	oracle_index	UNIVERSAL	assumed		key.keyboard.h	options	Open Oracle Index	Открыть Индекс Оракула
key.oracle_index.search	oracle_index	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Oracle Search	Открыть Поиск Оракула
key.oritech.augment_screen	oritech	UNIVERSAL	assumed		key.keyboard.g	options	Implant Controls [Hold]	Управление имплантами [Удерживать]
key.pickItem	minecraft	UNIVERSAL	assumed		key.mouse.middle	options		
key.playerlist	minecraft	UNIVERSAL	assumed		key.keyboard.tab	options		
key.ponder.ponder	ponder	UNIVERSAL	assumed		key.keyboard.w	options		
key.prevDestination	rftoolsbase	IN_GAME	bytecode		key.keyboard.left.bracket	options	Cycle to previous target	
key.railcraft.change_aura	railcraft	UNIVERSAL	assumed		key.keyboard.g	options	Change Aura	Изменить ауру
key.railcraft.loco.faster	railcraft	UNIVERSAL	assumed		key.keyboard.period	options	Increase locomotive speed	Увеличить скорость локомотива
key.railcraft.loco.mode	railcraft	UNIVERSAL	assumed		key.keyboard.m	options	Change locomotive mode	Изменить режим локомотива
key.railcraft.loco.reverse	railcraft	UNIVERSAL	assumed		key.keyboard.n	options	Change locomotive direction	Изменить направление локомотива
key.railcraft.loco.slower	railcraft	UNIVERSAL	assumed		key.keyboard.comma	options	Decrease locomotive speed	Уменьшить скорость локомотива
key.railcraft.loco.whistle	railcraft	UNIVERSAL	assumed		key.keyboard.b	options	Locomotive whistle	Свисток
key.refinedstorage.clear_crafting_grid_matrix_to_inventory	refinedstorage	UNIVERSAL	assumed		key.keyboard.unknown	options	Clear Crafting Grid matrix to inventory	Очистить терминал создания в инвентарь
key.refinedstorage.clear_crafting_grid_matrix_to_network	refinedstorage	UNIVERSAL	assumed		key.keyboard.x:CONTROL	options	Clear Crafting Grid matrix to network	Очистить терминал создания в сеть
key.refinedstorage.focus_search_bar	refinedstorage	UNIVERSAL	assumed		key.keyboard.tab	options	Focus search bar	Фокус на строку поиска
key.refinedstorage.open_portable_grid	refinedstorage	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Portable Grid	Открыть Переносной Терминал
key.refinedstorage.open_wireless_autocrafting_monitor	refinedstorage	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Wireless Autocrafting Monitor	Открыть беспроводный монитор автокрафта
key.refinedstorage.open_wireless_grid	refinedstorage	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Wireless Grid	Открыть Беспроводной Терминал
key.refinedstorage_quartz_arsenal.open_wireless_crafting_grid	refinedstorage_quartz_arsenal	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Wireless Crafting Grid	Открыть беспроводный терминал создания
key.relics.active_abilities_list	relics	UNIVERSAL	assumed		key.keyboard.left.alt	options	Active Abilities Menu	Меню активных способностей
key.relics.research_relic	relics	UNIVERSAL	assumed		key.keyboard.left.shift	options	Research Relic Under Cursor	Исследовать реликвию под курсором
key.right	minecraft	UNIVERSAL	assumed		key.keyboard.d	options		
key.saveToolbarActivator	minecraft	UNIVERSAL	assumed		key.keyboard.c	options		
key.screenshot	minecraft	UNIVERSAL	assumed		key.keyboard.f2	options		
key.securitycraft.cameraActivateNightVision	securitycraft	UNIVERSAL	assumed		key.keyboard.n	options	Toggle Night Vision	Переключить ночное видение
key.securitycraft.cameraEmitRedstone	securitycraft	UNIVERSAL	assumed		key.keyboard.r	options	Toggle Redstone Output	Переключить выход редстоуна
key.securitycraft.cameraZoomIn	securitycraft	UNIVERSAL	assumed		key.keyboard.equal	options	Zoom In	Приблизить
key.securitycraft.cameraZoomOut	securitycraft	UNIVERSAL	assumed		key.keyboard.minus	options	Zoom Out	Отдалить
key.securitycraft.setDefaultViewingDirection	securitycraft	UNIVERSAL	assumed		key.keyboard.u	options	Set default viewing direction	Установить направление просмотра по умолчанию
key.selectiveDisplacement	mahoutsukai	UNIVERSAL	assumed		key.keyboard.h	options	Selective Displacement	Выборочная замена
key.settingsGUI	mahoutsukai	UNIVERSAL	assumed		key.keyboard.period	options	Mahou Settings GUI	Настройки GUI Mahoutsukai
key.sfm.container_inspector.activation_key	sfm	UNIVERSAL	assumed		key.keyboard.i:CONTROL	options	Toggle Container Inspector	Переключить инспектор контейнеров
key.sfm.item_inspector.activation_key	sfm	UNIVERSAL	assumed		key.keyboard.unknown	options	(WIP) Copy Hovered Item To Clipboard	(WIP) Скопировать наведённый предмет в буфер обмена
key.sfm.label_gun.clear_modifier	sfm	UNIVERSAL	assumed		key.keyboard.left.shift	options	Label Gun Clear Modifier	Модификатор очистки пистолета для меток
key.sfm.label_gun.contiguous_modifier	sfm	UNIVERSAL	assumed		key.keyboard.left.control	options	Label Gun Contiguous Modifier	Модификатор непрерывного действия пистолета для меток
key.sfm.label_gun.next_label	sfm	UNIVERSAL	assumed		key.keyboard.unknown	options	Label Gun Next Label	Следующая метка на пистолете
key.sfm.label_gun.open_gui	sfm	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Label Gun GUI	
key.sfm.label_gun.pick_block_modifier	sfm	UNIVERSAL	assumed		key.keyboard.left.alt	options	Label Gun Pick Block Modifier	Модификатор выбора блока пистолетом для меток
key.sfm.label_gun.previous_label	sfm	UNIVERSAL	assumed		key.keyboard.unknown	options	Label Gun Previous Label	Предыдущая метка на пистолете
key.sfm.label_gun.pull_modifier	sfm	UNIVERSAL	assumed		key.keyboard.left.shift	options	Label Gun Pull Modifier	Модификатор получения меток пистолетом
key.sfm.label_gun.scroll_modifier	sfm	UNIVERSAL	assumed		key.keyboard.left.shift	options	Label Gun Scroll Modifier	Модификатор прокрутки пистолета для меток
key.sfm.label_gun.target_manager_modifier	sfm	UNIVERSAL	assumed		key.keyboard.right.alt	options	Label Gun Target Manager Modifier	Модификатор выбора управляющего пистолетом для меток
key.sfm.manager.text_editor	sfm	UNIVERSAL	assumed		key.keyboard.e:CONTROL	options	Manager Screen - Open Text Editor	Экран управляющего — открыть текстовый редактор
key.sfm.more_info	sfm	UNIVERSAL	assumed		key.keyboard.left.shift	options	Hold For More Info	Удерживать для подробной информации
key.sfm.text_editor.accept_intellisense	sfm	UNIVERSAL	assumed		key.keyboard.backslash	options	Text Editor - Accept Intellisense Suggestion	
key.sfm.title_screen.text_editor	sfm	UNIVERSAL	assumed		key.keyboard.e:CONTROL	options	Title Screen - Open Text Editor	Главный экран — открыть текстовый редактор
key.sfm.toggle_label_view_key	sfm	UNIVERSAL	assumed		key.keyboard.left.alt	options	Cycle label gun view	Переключить режим отображения меток
key.sfm.toggle_network_tool_overlay	sfm	UNIVERSAL	assumed		key.keyboard.left.alt	options	Toggle network tool overlay	Переключить оверлей сетевого инструмента
key.silentgear.cycle.back	silentgear	UNIVERSAL	assumed		key.keyboard.z	options	Cycle Back	Назад
key.silentgear.cycle.next	silentgear	UNIVERSAL	assumed		key.keyboard.c	options	Cycle Next	Вперед
key.silentgear.displayItemConstruction	silentgear	UNIVERSAL	assumed		key.keyboard.left.alt	options	Display Construction and Materials	
key.silentgear.displayItemProperties	silentgear	UNIVERSAL	assumed		key.keyboard.left.control	options	Display Properties and Traits	
key.silentgear.displayTraitDescriptions	silentgear	UNIVERSAL	assumed		key.keyboard.left.shift	options	Display Trait Descriptions	
key.silentgear.openItem	silentgear	UNIVERSAL	assumed		key.keyboard.x	options	Open Item	Открыть предмет
key.smoothCamera	minecraft	UNIVERSAL	assumed		key.keyboard.unknown	options		
key.sneak	minecraft	UNIVERSAL	assumed		key.keyboard.left.shift	options		
key.socialInteractions	minecraft	UNIVERSAL	assumed		key.keyboard.p	options		
key.sophisticatedbackpacks.inventory_interaction	sophisticatedbackpacks	UNIVERSAL	assumed		key.keyboard.c	options	Run Inventory Interaction Upgrades	Загрузить или выгрузить содержимое
key.sophisticatedbackpacks.open_backpack	sophisticatedbackpacks	UNIVERSAL	assumed		key.keyboard.b	options	Open Backpack	Открыть рюкзак
key.sophisticatedbackpacks.toggle_upgrade_1	sophisticatedbackpacks	UNIVERSAL	assumed		key.keyboard.z:ALT	options	Switch Upgrade in the 1st Slot On/Off	Переключить улучшение в слоте 1
key.sophisticatedbackpacks.toggle_upgrade_2	sophisticatedbackpacks	UNIVERSAL	assumed		key.keyboard.x:ALT	options	Switch Upgrade in the 2nd Slot On/Off	Переключить улучшение в слоте 2
key.sophisticatedbackpacks.toggle_upgrade_3	sophisticatedbackpacks	UNIVERSAL	assumed		key.keyboard.unknown	options	Switch Upgrade in the 3rd Slot On/Off	Переключить улучшение в слоте 3
key.sophisticatedbackpacks.toggle_upgrade_4	sophisticatedbackpacks	UNIVERSAL	assumed		key.keyboard.unknown	options	Switch Upgrade in the 4th Slot On/Off	Переключить улучшение в слоте 4
key.sophisticatedbackpacks.toggle_upgrade_5	sophisticatedbackpacks	UNIVERSAL	assumed		key.keyboard.unknown	options	Switch Upgrade in the 5th Slot On/Off	Переключить улучшение в слоте 5
key.sophisticatedbackpacks.tool_swap	sophisticatedbackpacks	UNIVERSAL	assumed		key.keyboard.unknown	options	Swap tool based on current block/entity	Заменить рабочий инструмент
key.sophisticatedcore.sort	sophisticatedcore	UNIVERSAL	assumed		key.mouse.middle	options	Sort Storage/Backpack	Сортировать хранилище или рюкзак
key.sophisticatedcore.transfer_to_inventory	sophisticatedcore	UNIVERSAL	assumed		key.keyboard.right.bracket	options	Transfer to Inventory	Перенести в инвентарь игрока
key.sophisticatedcore.transfer_to_storage	sophisticatedcore	UNIVERSAL	assumed		key.keyboard.left.bracket	options	Transfer to Storage	Перенести в инвентарь хранилища
key.spectatorOutlines	minecraft	UNIVERSAL	assumed		key.keyboard.unknown	options		
key.sprint	minecraft	UNIVERSAL	assumed		key.keyboard.left.control	options		
key.structurize.mirror	structurize	UNIVERSAL	assumed		key.keyboard.m	options	Mirror	
key.structurize.move_back	structurize	UNIVERSAL	assumed		key.keyboard.down	options	Move Back	
key.structurize.move_down	structurize	UNIVERSAL	assumed		key.keyboard.keypad.subtract	options	Move Down	
key.structurize.move_forward	structurize	UNIVERSAL	assumed		key.keyboard.up	options	Move Forward	
key.structurize.move_left	structurize	UNIVERSAL	assumed		key.keyboard.left	options	Move Left	
key.structurize.move_right	structurize	UNIVERSAL	assumed		key.keyboard.right	options	Move Right	
key.structurize.move_up	structurize	UNIVERSAL	assumed		key.keyboard.keypad.add	options	Move Up	
key.structurize.place	structurize	UNIVERSAL	assumed		key.keyboard.enter	options	Place Structure	
key.structurize.rotate_ccw	structurize	UNIVERSAL	assumed		key.keyboard.left:SHIFT	options	Rotate Counter-clockwise	
key.structurize.rotate_cw	structurize	UNIVERSAL	assumed		key.keyboard.right:SHIFT	options	Rotate Clockwise	
key.structurize.teleport	structurize	IN_GAME	bytecode		key.keyboard.unknown	options	Scan Tool Teleport	
key.swapOffhand	minecraft	UNIVERSAL	assumed		key.keyboard.f	options		
key.tempad.macro	tempad	UNIVERSAL	assumed		key.keyboard.unknown	options	Use Tempad Macro	
key.tempad.new_location	tempad	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Tempad New Location App	
key.tempad.shortcut	tempad	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Tempad screen	
key.tempad.travel_timeline	tempad	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Tempad Travel Timeline App	
key.the_bumblezone.beehemoth_down	the_bumblezone	UNIVERSAL	assumed		key.keyboard.caps.lock	options	Beehemoth Fly Down	Направить Шмеллиафана вниз
key.the_bumblezone.beehemoth_up	the_bumblezone	UNIVERSAL	assumed		key.keyboard.space	options	Beehemoth Fly Up	Направить Шмеллиафана вверх
key.theurgy.change_item_mode	theurgy	UNIVERSAL	assumed		key.keyboard.unknown	options	Change Item Mode	Изменить режим предмета
key.toastcontrol.clear	toastcontrol	UNIVERSAL	assumed		key.keyboard.j	options	Clear Active Toasts	Очистить активные Тосты
key.togglePerspective	minecraft	UNIVERSAL	assumed		key.keyboard.f5	options		
key.toolbelt.cycle.left	toolbelt	UNIVERSAL	assumed		key.keyboard.unknown	options	Cycle Tool Left	Циклический инструмент слева
key.toolbelt.cycle.right	toolbelt	UNIVERSAL	assumed		key.keyboard.unknown	options	Cycle Tool Right	Циклический инструмент справа
key.toolbelt.open	toolbelt	UNIVERSAL	assumed		key.keyboard.r	options	Swap Tool	Заменить инструмент
key.toolbelt.slot	toolbelt	UNIVERSAL	assumed		key.keyboard.v	options	Open Belt Slot Inventory	Открыть слот инвентарь Пояса
key.trashslot.delete	trashslot	UNIVERSAL	assumed		key.keyboard.delete	options	Delete Item	Удалить предмет
key.trashslot.delete_all	trashslot	UNIVERSAL	assumed		key.keyboard.delete:SHIFT	options	Delete All Items of Type	
key.trashslot.toggle	trashslot	UNIVERSAL	assumed		key.keyboard.t	options	Show/Hide TrashSlot	Показать/скрыть слот для мусорки
key.trashslot.toggle_lock	trashslot	UNIVERSAL	assumed		key.keyboard.unknown	options	Lock/Unlock TrashSlot	
key.twilightforest.item_display_map_cycle	twilightforest	UNIVERSAL	assumed		key.keyboard.c	options	Cycle Item Display's Stored Maps	
key.twilightforest.red_thread_vision	twilightforest	UNIVERSAL	assumed		key.keyboard.unknown	options	See Red Thread with Goggles	
key.twilightforest.swap_hotbar	twilightforest	UNIVERSAL	assumed		key.keyboard.v	options	Swap Hotbar	
key.twilightforest.zoom	twilightforest	UNIVERSAL	assumed		key.keyboard.z	options	Zoom With Goggles	
key.universalgrid.open_wireless_universal_grid	universalgrid	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Wireless Universal Grid	Открыть беспроводной универсальный терминал
key.universalgrid.switch_wireless_universal_grid_type	universalgrid	UNIVERSAL	assumed		key.keyboard.unknown	options	Switch Wireless Universal Grid Type	Switch Wireless Universal Grid Type
key.unmountVehicle	rftoolsbuilder	IN_GAME	bytecode		key.keyboard.backslash	options	Unmount Vehicle	
key.use	minecraft	UNIVERSAL	assumed		key.mouse.right	options		
key.utilityvest.gui	utilityvest	UNIVERSAL	assumed		key.keyboard.r	options	Open Gui	
key.utilityvest.load	utilityvest	UNIVERSAL	assumed		key.keyboard.left.control	options	Load	
key.utilityvest.radial	utilityvest	UNIVERSAL	assumed		key.keyboard.g	options	Open Radial Menu	
key.utilityvest.restock	utilityvest	UNIVERSAL	assumed		key.keyboard.x	options	Restock	
key.utilityvest.save	utilityvest	UNIVERSAL	assumed		key.keyboard.left.alt	options	Save	
key.xycraft_core.modifier_key	xycraft_core	UNIVERSAL	bytecode		key.keyboard.left.control	options	Modifier Key	
keybind.advancedperipherals.description	advancedperipherals	UNIVERSAL	assumed		key.keyboard.left.control	options	Show Description	Показать описание
keybind.ironjetpacks.ascend	ironjetpacks	UNIVERSAL	assumed		key.keyboard.unknown	options	Ascend	
keybind.ironjetpacks.decrement_throttle	ironjetpacks	UNIVERSAL	assumed		key.keyboard.comma	options	Decrease Throttle	Убавить газ
keybind.ironjetpacks.descend	ironjetpacks	UNIVERSAL	assumed		key.keyboard.unknown	options	Descend	Снижение
keybind.ironjetpacks.engine	ironjetpacks	UNIVERSAL	assumed		key.keyboard.v	options	Toggle Engine	Режим переключения двигателя
keybind.ironjetpacks.hover	ironjetpacks	UNIVERSAL	assumed		key.keyboard.h	options	Toggle Hover Mode	Режим переключения зависания
keybind.ironjetpacks.hud	ironjetpacks	UNIVERSAL	assumed		key.keyboard.unknown	options	Toggle HUD	
keybind.ironjetpacks.increment_throttle	ironjetpacks	UNIVERSAL	assumed		key.keyboard.period	options	Increase Throttle	Прибавить газу
keybind.reliquary.fortune_coin	reliquary	UNIVERSAL	bytecode		key.keyboard.unknown	options	Enable/Disable Fortune Coin	Вкл./Выкл. монетку фортуны
mininggadgets.text.open_gui	mininggadgets	UNIVERSAL	assumed		key.keyboard.unknown	options	Open Mining Gadget Settings	
options.narrator	minecraft	UNIVERSAL	bytecode		key.keyboard.b:CONTROL	options		
placebo.toggleTrails	placebo	UNIVERSAL	assumed		key.keyboard.keypad.9	options	Toggle Supporter Trails	Переключить Patreon следы
placebo.toggleWings	placebo	UNIVERSAL	assumed		key.keyboard.keypad.8	options	Toggle Supporter Wings	Переключить Patreon крылья
pneumaticcraft.armor.options	pneumaticcraft	IN_GAME	bytecode		key.keyboard.u	options	Pneumatic Armor General Options	Общие параметры Пневмоброни
pneumaticcraft.armor.upgrade.air_conditioning	pneumaticcraft	UNIVERSAL	assumed		key.keyboard.unknown	options	Air Conditioning	Воздушное кондиционорование
pneumaticcraft.armor.upgrade.block_tracker	pneumaticcraft	UNIVERSAL	assumed		key.keyboard.unknown	options	Block Tracker	Трекер блоков
pneumaticcraft.armor.upgrade.block_tracker.module.end_portal	pneumaticcraft	UNIVERSAL	assumed		key.keyboard.unknown	options	End Portal Frames	Рамки портала Края
pneumaticcraft.armor.upgrade.block_tracker.module.energy	pneumaticcraft	UNIVERSAL	assumed		key.keyboard.unknown	options	Forge Energy Blocks	Forge Energy блоки
pneumaticcraft.armor.upgrade.block_tracker.module.fluids	pneumaticcraft	UNIVERSAL	assumed		key.keyboard.unknown	options	Fluid Tanks	Резервуары с жидкостью
pneumaticcraft.armor.upgrade.block_tracker.module.hackables	pneumaticcraft	UNIVERSAL	assumed		key.keyboard.unknown	options	Hackables	Взломано
pneumaticcraft.armor.upgrade.block_tracker.module.inventories	pneumaticcraft	UNIVERSAL	assumed		key.keyboard.unknown	options	Inventories	Инвентари
pneumaticcraft.armor.upgrade.block_tracker.module.misc	pneumaticcraft	UNIVERSAL	assumed		key.keyboard.unknown	options	Miscellaneous Blocks	Разные блоки
pneumaticcraft.armor.upgrade.block_tracker.module.spawner	pneumaticcraft	UNIVERSAL	assumed		key.keyboard.unknown	options	Mob Spawners	Спаунеры мобов
pneumaticcraft.armor.upgrade.charging	pneumaticcraft	UNIVERSAL	assumed		key.keyboard.unknown	options	Auto-Charger	Автозарядник
pneumaticcraft.armor.upgrade.coordinate_tracker	pneumaticcraft	UNIVERSAL	assumed		key.keyboard.unknown	options	Coordinate Tracker	Трекер координат
pneumaticcraft.armor.upgrade.core_components	pneumaticcraft	UNIVERSAL	assumed		key.keyboard.unknown	options	Core Components	Основные компоненты
pneumaticcraft.armor.upgrade.elytra	pneumaticcraft	UNIVERSAL	assumed		key.keyboard.unknown	options	Elytra	Элитра
pneumaticcraft.armor.upgrade.ender_visor	pneumaticcraft	UNIVERSAL	assumed		key.keyboard.unknown	options	Ender Visor	Эндер визор
